Column1	x	y	z	sentence	labels	my_categories	model_gen_cat
0	5.189648	18.9056	10.612072	Enable etcd with security setting Add etcd client/server certificate generation process in ansible playbook and restart etcd after etcd security config enabled Test status 1) Deployment test on both simplex and duplex - PASS check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 2) Switch active controller - PASS After switching_ check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 3) Lock/unlock of a simplex controller - PASS 4) Backup/Restore test on simplex - PASS 5) Spontaneous reboot of a simplex controller - PASS 6) Enable secured etcd on simplex by script after deploy unsecured etcd - PASS 7) Backup test on Duplex - PASS 8) Restore test on Duplex - PASS 9) Re-installing a controller host on a duplex setup and then swacting to it - PASS Partial-Bug: 1894870 Depends-on: https://reviewopendevorg/#/c/760508/ Change-Id: I88691b84c9acc2e27f0b783d7454a873d3490072 Signed-off-by: Zhipeng Liu <zhipengsliu@intelcom>	-1	add_context_security_etcd	add_context_security_etcd
1	2.9764426	12.273505	7.4955916	Add new Debian security mirror suite pattern Starting with Debian 11 (bullseye)_ security packages are in bullseye-security as opposed to older releases like buster/updates List the last several stable releases in hopes nobody is trying to use this role to configure platforms older than Debian 8 (jessie_ the current "oldoldstable") A followup change demonstrates this works in the test-base-roles job_ but because the job matrices have to be updated in one fell swoop_ and many of those jobs won't work without this change already merged (due to protected use in our base job)_ it's not tested directly within this change Change-Id: Ib07269382ce379afc13f1702709a548ad829e663	1	add_security_mirror_repository	add_repository_security_mirror
2	4.4785643	15.347818	2.927037	Fix rule replacement in security policy Change-Id: I65918a003833dea45897d360ab7c3ce60616ec4c	-1	add_security_policy	allow_rule_security_policy
3	6.7255416	19.305334	9.966604	OvS: Add pod security context to pods This PS adds the pod security context snippet to pods Change-Id: I91e89d7798f6e850e47901551c5dc7cf9d80c97f Signed-off-by: Pete Birley <pete@portdirect>	0	add_context_security_container	adds_context_security_container
4	12.780919	12.909207	-3.4149938	Horizon: update east-west network security policy This patch set updates the ingress network security policy for the Horizon service Change-Id: I0a580b5e4e14678f6abc14b58d8de5d3d6172c44	6	add_security_group_policy	add_rule_security_group
5	7.1221247	20.31254	9.833024	Implement helm-toolkit snippet to Keystone pods/containers This updates the Keystone chart to include the pod security context on the pod template This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I334ef187a3dcaa082a5c3a7af63de4386dfbdf04	0	add_context_security_container	adds_context_security_container
6	6.287837	20.020985	10.107747	Add missing security context to Mini-mirror test pods/containers This updates the mini-mirror chart to include the pod security context on the pod template This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I5a48b73a6a4530342bacead941128fdec7cc9c42	0	add_context_security_container	adds_context_security_container
7	10.19542	13.3775425	-2.049558	Enable setting default rules for default security group In the current implementation_ the default security group only contains the rule that allow intercommunication between vms in a same security-group However_ customers could be confused about that their vms can't use ssh or rdp to login_ or can't provide HTTP/HTTPS service to outside since the security group is disabled to these ports by default To resolve this_ we need to allow cloud administrators to set rules of default security group Blueprint: default-rules-for-default-security-group DocImpact Change-Id: I2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6	-1	add_security_group_policy	add_group_security
8	7.4002314	12.4429035	1.4470907	Testingrst misses a step for adding security rule Change-Id: Id748be47a85abd4da75e63964edfbd076a2c8ac0 Closes-Bug: #1513553	5	add_unit_test	add_test_security_group
9	12.526464	9.81166	-3.258962	Test security groups Install ovs kernel module from source and turn on the sec group tests Change-Id: I94149e73c5b1339f3b77acff2b74a377daa6f9e0	3	add_security_group_policy	add_group_security
10	12.511741	9.739159	-3.1905787	Add OSSN-0040 security groups don't work with vip and ovs plugin Closes-Bug: #1163569 Change-Id: I4f554241fd2e18ce29a6a93ed495c8afe539e363	3	add_security_group_policy	add_group_security
11	9.244176	16.175602	-0.30383205	Add security groups dscp spec This adds the spec "Add a 'dscp' field to security group rules to screen ingress traffic by dscp tag as well as IP address" to the Mitaka specs directory_ to start community discussion Closes-bug #1498957 Change-Id: I2aa341fd7ba860c62fa16f00ffac3d4e8df4562d	-1	add_security_group_policy	adds_group_security
12	13.044176	10.224684	-3.2725499	Open vSwitch-based Security Groups: OVS FirewallDriver Specification for implementing Open vSwitch-based security groups Change-Id: I6862d21e6fe967036a301e061f3d56a8ee4ed2a5	3	add_security_group_policy	add_group_security
13	13.266342	14.825714	1.3932354	Add security groups for nova As current implementation of puppet-nova can't realize nova security groups: 1 Nova security group type and provider implemented 2 Nova security rule type and provider implemented Also new openstack::nova::security class added that implements base functionality of security groups in Fuel Change-Id: I58372ccfc0e5859b6512ebf785b3df45756dc2d1 Closes-Bug: 1349819	6	add_security_group_policy	add_group_security
14	12.361621	19.913925	9.695755	Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543	-1	add_unit_test	add_framework_security_proxy
15	12.379632	19.90776	9.680414	Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543	-1	add_unit_test	add_framework_security_proxy
16	12.368831	19.905775	9.689187	Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543	-1	add_unit_test	add_framework_security_proxy
17	14.129599	11.511564	-2.0440054	Use fanout RPC message to nofity the security group's change when a security group members or rules change_ if it just notify the l2 agents with 'security_groups_member_updated' or 'security_groups_rule_updated'_ the all related l2 agents need to get the security group details through RPC from neutron-server_ when the number of l2 agents is large_ the load of neutron-server is heavy this patch use fanout RPC message with the changed sg details to notify the l2 agents_ then l2 agents which has the related devices update the sg information in their memory_ they do not need to get the sg details through RPC Change-Id: I3eca91afe58389c447fa9c1c59e15f0e21e89111	3	add_security_group_policy	add_id_security_group
18	9.489914	14.8587885	-0.19440633	Use security group id for launch instance When there are two security groups with the same name_ it would not be possible to launch instance with security group name Change-Id: I65c39eb728916010f0057440d856cd00f59763d9 Closes-bug: #1483091	-1	add_security_group_policy	bug_id_security_group
19	3.9292161	16.18776	5.5106416	Wrong Link to External Site Integrity life-cycle in Security Guide A link to dm-verity under the section Node Hardening of Integrity life-cycle is incorrect The current link points to a a Google Code page The dm-verity project is now part of the Cryptsetup utility and has been moved to project Gitlab wiki This bug fix updates the dm-verity link the Integrity life-cycle to point to the wiki page in Gitlab for the Cryptsetup utility Change-Id: Ib4eec8bb73a9607ac632f35c839a47e4dcd5d4ff Closes-Bug: #1490049	1	add_security_policy	add_id_security_bug
20	9.248205	16.338564	0.9919472	Add VRRP protocol to security group API Change-Id: I79381b5fcd506a6f7b6cba7d7b3c2f0038e86c0d Closes-bug: #1475717	-1	add_security_group_policy	add_group_security
21	7.550827	16.747526	7.115337	Add security testing for transport layer check The test cases check all resources related URLS in service creation response / service listing response/ service GET response are using HTTPS for transport security Both reponse boy and all HTTP headers are checked The test cases fail if HTTP is used Change-Id: I4da455b52124d8fa247de5b7931fc5f48f879512 Implements: blueprint security-testing	-1	add_security_policy	add_id_security_bug
22	11.882063	14.030956	0.12831606	Fix API misimplementation for security groups According to the Compute API reference [1]_ the 'description' parameter is optional when creating a security group But the current implementation returns a HTTP 400 when this parameter is not specified This patch modifies the validation check_ so that omitting 'description' or passing an empty string is OK [1]: http://developeropenstackorg/api-ref-compute-v2-exthtml#createSecGroup Change-Id: I404dd30c7dac4b8a9e01cf2ea62fa404fdcce3de Closes-Bug: #1434172	-1	add_security_group_policy	adds_group_security
23	12.377763	12.919548	-3.76606	If a Neutron security group rule protocol is ICMP_ port_range_max value must be an ICMP code Change-Id: Ib1e972ecb9a28f4d5c7944b5a871ec165039eeb5 Closes-Bug: 1483292	6	add_security_group_policy	add_rule_security_group
24	7.8048625	11.878351	2.0640469	Add security testing for authorization and update client These test cases cover authorization checks for service functions They check whether it is possible to create/patch/list/delete services without valid tokens or no token at all It also check whether it is possible to create/patch/list/delete services of one user using another user's valid token The supposed repsonses should be 401 errors The client's code is updated to include requestslib_kwargs=None for functions that do not implement requestslib It is possible to modify paylaods and headers with this addtion Change-Id: I01ef2b2fd22b2a21d84ed39bfbfee73e5fdc8b93 Implements: blueprint authentication	-1	add_security_policy	use_id_security_runtime
25	7.5831304	11.945346	2.2297893	Adds security tests to automate checking of common vulnerabilities This is an initial set of security tests for the poppy CDN component Change-Id: Iada937545634d2c8d4ae30c1b7798135cd4bb996	-1	add_unit_test	add_test_security_group
26	13.757274	13.121684	-2.7837439	Remove namespace argument from security group initialization Neutron security groups (iptables_ ipsets) are always configured in the "root" namespace on compute nodes_ so the namespace argument is not required and never used Remove it from the firewall code and related call sites Noticed while doing other ipset work Change-Id: I4996e2e79da0ec9bbe7980acea60bf5ce3c825ae	-1	add_security_group_policy	needs_group_security
27	14.829925	10.5133095	-3.1063998	networking-tricircle core plugin and security group Initial implementation include option to use ML2 but it seem that it will be better to use a core plugin (more control) over the process Change-Id: Ic63e7a3d0a1b171d43aff535b65c949e9e51ff4f	3	add_security_group_policy	add_id_security_group
28	13.171558	10.204995	-3.2346632	Discuss bridge/netfilter & OVS Hybrid driver with security groups With the dependent change the OVSHybridIptablesFirewallDriver ensures the netfilter-runs-on-bridges option is set Remove this from the manual steps_ and add an explanatory note where security-groups are being setup in the guide Change-Id: I42c6a0219d960b682bb4a39727c87151bc3ef1a8 Depends-On: If2d316eb8c422dc1e4f34b17a50b93dd72993a99	3	add_security_group_policy	add_group_security
29	8.858648	11.965736	-4.7974987	Add ability to change VIP security group * Convert Edit VIP form to a workflow This is consistent with editing an instance in the Instances dashboard * Add a workflow step that allows the security group on a VIP port to be changed after creation of the VIP Closes-Bug: #1325397 Change-Id: I64631bf56427e79cf5e32a12d1925113d16ac3dc	-1	add_security_group_policy	add_rule_security_group
30	3.0669267	12.321208	7.3850336	Add separate mirror for security ubuntu updates Unfreeze only security updates for FUEL release Change-Id: I9f89f8c956af1032d6c46ab705fed54468d47610	1	add_security_mirror_repository	add_repository_security_mirror
31	14.842669	10.5267725	-3.1015353	networking-tricircle core plugin and security group Initial implementation include option to use ML2 but it seem that it will be better to use a core plugin (more control) over the process Change-Id: I3838d4124c45ab022e583bdcb548ecf909fd4112	3	add_security_group_policy	add_id_security_group
32	9.429092	14.763497	0.31164902	Raise an exception when adding an already associated security group Raises exceptionSecurityGroupExistsForInstance when trying to add an already associated security group to instance Change-Id: I72543f60d2cb603d40a6d4b625a97da234ffb7a1 Closes-bug: #1423168	8	add_security_group_policy	add_id_security_group
33	12.075399	12.647543	-2.714981	Add rate limit iptables security group firewall The driver is based on the iptables firewall It is a beta-version for POC purpose and not yet implements log action To use it_ you need to have in the 'securitygroup' section: enable_security_group = true enable_extended_security_group = true firewall_driver = neutronagentlinuxiptables_bf_firewallIptablesBfFirewallDriver Change-Id: I8265abc96f70d2f5afabc0dcd1669cfb09c75f95 Partial-Implements: blueprint security-group-brute-force-prevention	-1	add_security_group_policy	improve___security_group
34	7.916297	12.4977	0.5443804	Get rid of duplicated creation of security groups in test_volume_boot_pattern It turns out that a security group in test test_volume_boot_pattern is created twice The first security group is created in test itself_ the second security group is created in the method _boot_instance_from_ volume() This patch fixes it Now the security group is created once Change-Id: I99ec28a70591b346e2ea00c6e16af4e856721aa3	-1	add_security_group_policy	add_port_security_group
35	11.332985	10.510098	-4.602791	Fixes bug with security groups rules in a dual stack network The code to add provider rules doesn't cycle through all of the DHCP agent IPs The code to add rules either correctly adds IPv4 rules or IPv6 rules depending on the order in which the DHCP agent IPs are got from the database Change-Id: I29a0a47a6bb3cbeaaa52a5477c4324c6cf1a6d3c Closes-Bug: #1455093	3	add_security_group_policy	add_rule_security_group
36	14.842768	10.527902	-3.1023276	networking-tricircle core plugin and security group Initial implementation include option to use ML2 but it seem that it will be better to use a core plugin (more control) over the process Change-Id: I3838d4124c45ab022e583bdcb548ecf909fd4112	3	add_security_group_policy	add_id_security_group
37	3.6203616	12.44696	6.7063174	Add security repo for CentOS Change-Id: Ie3c8098d6958650dd3c90ac3664937cfc6979f83 Partial-Bug: #1466080	1	add_security_mirror_repository	update_centos_underscore_security
38	13.767568	15.076312	0.49712202	Updated the code to display security group's uuid instead of name in 'nova show' Closes-Bug: 1394462 Change-Id: I7bc73cbc6801ce44bd6b8a1e0cbff9bac5c62e04	4	add_security_group_policy	speed_group_security
39	9.221543	12.019376	-5.106972	Add security group check when boot with port When create a vm with specified security group and ports_the security group is invalidBecause ports have their own security groupPerhaps users will be confused with this situationThey input security group parameter_but it doesn't work This patch add security group check in api: 1when boot only with port_it will return code 400 to show that security group is invalid and unnecessary 2when boot with both port and network_it will print a worning information in log files to point out that the security group is invalid with ports Change-Id: If956731b2b82360f69bced78b05a473f9d5b86c9 Closes-bug:#1462393	4	add_security_group_policy	add_rule_security_group
40	8.51452	15.714835	-0.9955309	Display ID column in the Security Group table This patch set is to add ID column in the security group table This is useful when there are multiple security group that has the same name Change-Id: I5d4665a5d1fe6bd0c163721275c8e3c446788eae Closes-Bug: #1429866	7	add_security_group_policy	bug_id_security_group
41	12.257512	13.901723	11.045482	Add tox target for bandit security checks Bandit is produced by the OpenStack security team to do static code analysis for security implementation failures It tests the code base for ~30 common security problems in Python with more to come run with: tox -e bandit Eventually we should have a check job that runs this target Change-Id: I14c34c2ec8db73179964282cc95df96bd9a600fa	-1	add_bandit_security	add_bandit_security
42	9.049086	12.49462	-5.4714417	Update port security group_ relevant ipset member can't be updated There is only 1 member named p1 in sg1And 1 member named p2 in sg2 The sg2 can access sg1So p2 can access p1 After p1 updated to sg3_ and sg1 removed p1 from ipsets But when sg update the ipsets_ it can get the sg1 ip is none_and the logical exe set_members when exist ip in sg1_but now p1 had removed from sg1_so sg2 won't updated Change-Id: Ib301d1d08ed7df14ba56ff7e9862be5b37e17481 Closes-bug:#1458786	-1	add_security_group_policy	add_rule_security_group
43	8.442764	14.606796	-1.3200333	To display protocol of the security group rules in dashboard instance overview page Change-Id: I8d3c5089602aae9b77019259fa185f9a847ca472	8	add_unit_test	ensure_test_security_group
44	5.284327	15.16481	5.661608	few changes in security guide added projects for tenant information Change-Id: I77d6ec363ecaa8990295c098dd4389621f2e854c	1	add_security_policy	add_id_security_bug
45	11.901801	12.715253	-2.6589007	Add rate limiting security groups rules CLI extension Change-Id: Ifefee97944059a0993e547a842c675c12be18120 Implements: blueprint security-group-brute-force-prevention-cli	-1	add_security_group_policy	improve___security_group
46	8.727331	14.307617	-3.4176838	Use left join for security group retrieve Currently server joins SecurityGroupPortBinding and SecurityGroupRule table to retrieve security group rules of a port_ so an empty security group is not returned This will cause trouble if enhanced RPC is enabled The security_groups field in the RPC response will not contain the id of the empty security group so agent will not update this security group Thus it will not take effect deleting the last rule in a security group This patch left joins SecurityGroupPortBinding and SecurityGroupRule table to ensure that empty security group can also be returned Change-Id: I9713a607a85d4bdcb9730d00cf8551d142acfb0f Closes-Bug: #1420056	4	add_security_group_policy	add_rule_security_group
