,Sentences,Similarity
0,Enable etcd with security setting Add etcd client/server certificate generation process in ansible playbook and restart etcd after etcd security config enabled Test status 1) Deployment test on both simplex and duplex - PASS check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 2) Switch active controller - PASS After switching_ check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 3) Lock/unlock of a simplex controller - PASS 4) Backup/Restore test on simplex - PASS 5) Spontaneous reboot of a simplex controller - PASS 6) Enable secured etcd on simplex by script after deploy unsecured etcd - PASS 7) Backup test on Duplex - PASS 8) Restore test on Duplex - PASS 9) Re-installing a controller host on a duplex setup and then swacting to it - PASS Partial-Bug: 1894870 Depends-on: https://reviewopendevorg/#/c/760508/ Change-Id: I88691b84c9acc2e27f0b783d7454a873d3490072 Signed-off-by: Zhipeng Liu <zhipengsliu@intelcom>,0.12045139074325562
1,"Add new Debian security mirror suite pattern Starting with Debian 11 (bullseye)_ security packages are in bullseye-security as opposed to older releases like buster/updates List the last several stable releases in hopes nobody is trying to use this role to configure platforms older than Debian 8 (jessie_ the current ""oldoldstable"") A followup change demonstrates this works in the test-base-roles job_ but because the job matrices have to be updated in one fell swoop_ and many of those jobs won't work without this change already merged (due to protected use in our base job)_ it's not tested directly within this change Change-Id: Ib07269382ce379afc13f1702709a548ad829e663",0.5813321471214294
2,Fix rule replacement in security policy Change-Id: I65918a003833dea45897d360ab7c3ce60616ec4c,0.2885616719722748
3,OvS: Add pod security context to pods This PS adds the pod security context snippet to pods Change-Id: I91e89d7798f6e850e47901551c5dc7cf9d80c97f Signed-off-by: Pete Birley <pete@portdirect>,0.2237505167722702
4,Horizon: update east-west network security policy This patch set updates the ingress network security policy for the Horizon service Change-Id: I0a580b5e4e14678f6abc14b58d8de5d3d6172c44,0.3333814740180969
5,Implement helm-toolkit snippet to Keystone pods/containers This updates the Keystone chart to include the pod security context on the pod template This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I334ef187a3dcaa082a5c3a7af63de4386dfbdf04,0.10064955800771713
6,Add missing security context to Mini-mirror test pods/containers This updates the mini-mirror chart to include the pod security context on the pod template This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I5a48b73a6a4530342bacead941128fdec7cc9c42,0.3466997742652893
7,Enable setting default rules for default security group In the current implementation_ the default security group only contains the rule that allow intercommunication between vms in a same security-group However_ customers could be confused about that their vms can't use ssh or rdp to login_ or can't provide HTTP/HTTPS service to outside since the security group is disabled to these ports by default To resolve this_ we need to allow cloud administrators to set rules of default security group Blueprint: default-rules-for-default-security-group DocImpact Change-Id: I2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6,0.17276233434677124
8,Testingrst misses a step for adding security rule Change-Id: Id748be47a85abd4da75e63964edfbd076a2c8ac0 Closes-Bug: #1513553,0.24170880019664764
9,Test security groups Install ovs kernel module from source and turn on the sec group tests Change-Id: I94149e73c5b1339f3b77acff2b74a377daa6f9e0,0.24740564823150635
10,Add OSSN-0040 security groups don't work with vip and ovs plugin Closes-Bug: #1163569 Change-Id: I4f554241fd2e18ce29a6a93ed495c8afe539e363,0.19410759210586548
11,"Add security groups dscp spec This adds the spec ""Add a 'dscp' field to security group rules to screen ingress traffic by dscp tag as well as IP address"" to the Mitaka specs directory_ to start community discussion Closes-bug #1498957 Change-Id: I2aa341fd7ba860c62fa16f00ffac3d4e8df4562d",0.24766278266906738
12,Open vSwitch-based Security Groups: OVS FirewallDriver Specification for implementing Open vSwitch-based security groups Change-Id: I6862d21e6fe967036a301e061f3d56a8ee4ed2a5,0.2144109308719635
13,Add security groups for nova As current implementation of puppet-nova can't realize nova security groups: 1 Nova security group type and provider implemented 2 Nova security rule type and provider implemented Also new openstack::nova::security class added that implements base functionality of security groups in Fuel Change-Id: I58372ccfc0e5859b6512ebf785b3df45756dc2d1 Closes-Bug: 1349819,0.21592673659324646
14,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,0.16491073369979858
15,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,0.16491073369979858
16,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,0.16491073369979858
17,Use fanout RPC message to nofity the security group's change when a security group members or rules change_ if it just notify the l2 agents with 'security_groups_member_updated' or 'security_groups_rule_updated'_ the all related l2 agents need to get the security group details through RPC from neutron-server_ when the number of l2 agents is large_ the load of neutron-server is heavy this patch use fanout RPC message with the changed sg details to notify the l2 agents_ then l2 agents which has the related devices update the sg information in their memory_ they do not need to get the sg details through RPC Change-Id: I3eca91afe58389c447fa9c1c59e15f0e21e89111,0.261666864156723
18,Use security group id for launch instance When there are two security groups with the same name_ it would not be possible to launch instance with security group name Change-Id: I65c39eb728916010f0057440d856cd00f59763d9 Closes-bug: #1483091,0.10243815183639526
19,Wrong Link to External Site Integrity life-cycle in Security Guide A link to dm-verity under the section Node Hardening of Integrity life-cycle is incorrect The current link points to a a Google Code page The dm-verity project is now part of the Cryptsetup utility and has been moved to project Gitlab wiki This bug fix updates the dm-verity link the Integrity life-cycle to point to the wiki page in Gitlab for the Cryptsetup utility Change-Id: Ib4eec8bb73a9607ac632f35c839a47e4dcd5d4ff Closes-Bug: #1490049,0.4659082889556885
20,Add VRRP protocol to security group API Change-Id: I79381b5fcd506a6f7b6cba7d7b3c2f0038e86c0d Closes-bug: #1475717,0.25786978006362915
